City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
60,Ushuaia,AR,-54.8,-68.3,33.46,86,40,4.61,2021-07-26 01:25:10,scattered clouds
61,Peleduy,RU,59.6289,112.7406,78.42,42,40,4.47,2021-07-26 01:25:11,scattered clouds
62,Moche,PE,-8.1711,-79.0092,66.38,82,19,9.22,2021-07-26 01:25:11,few clouds
63,Alice Springs,AU,-23.7,133.8833,67.55,22,6,5.75,2021-07-26 01:22:49,clear sky
64,Anaconda,US,46.1285,-112.9423,86.99,12,0,10.76,2021-07-26 01:25:11,clear sky
65,Talnakh,RU,69.4865,88.3972,57.92,93,100,1.99,2021-07-26 01:25:12,overcast clouds
66,Bubaque,GW,11.2833,-15.8333,79.3,81,100,7.72,2021-07-26 01:25:12,light rain
67,Klaksvik,FO,62.2266,-6.589,50.92,96,100,8.72,2021-07-26 01:25:12,overcast clouds
68,Leningradskiy,RU,69.3833,178.4167,40.44,84,98,6.46,2021-07-26 01:25:12,overcast clouds
69,Tasiilaq,GL,65.6145,-37.6368,41.16,83,33,5.75,2021-07-26 01:25:13,scattered clouds
70,Saint-Philippe,RE,-21.3585,55.7679,67.55,73,57,11.07,2021-07-26 01:25:13,broken clouds
71,Rosario,AR,-32.9468,-60.6393,55.94,73,0,1.01,2021-07-26 01:25:13,clear sky
72,Bluff,NZ,-46.6,168.3333,48.79,84,100,2.98,2021-07-26 01:25:13,light rain
73,Cooma,AU,-36.2333,149.1333,53.37,50,66,9.22,2021-07-26 01:25:14,broken clouds
74,Severodvinsk,RU,64.5635,39.8302,50.11,94,100,3.33,2021-07-26 01:21:37,light rain
75,Yarmouth,US,41.7057,-70.2286,73.99,92,90,7.0,2021-07-26 01:25:14,overcast clouds
76,Lompoc,US,34.6391,-120.4579,81.12,79,90,12.66,2021-07-26 01:25:14,overcast clouds
77,Vallenar,CL,-28.5708,-70.7581,53.92,59,0,0.74,2021-07-26 01:25:14,clear sky
78,Muromtsevo,RU,56.3724,75.2418,56.16,95,100,11.63,2021-07-26 01:25:15,overcast clouds
79,Rio Grande,BR,-32.035,-52.0986,60.94,82,9,7.52,2021-07-26 01:25:15,clear sky
80,Ribeira Grande,PT,38.5167,-28.7,70.45,82,7,14.85,2021-07-26 01:25:15,clear sky
81,Turtas,RU,58.9417,69.1325,51.01,72,80,8.77,2021-07-26 01:25:15,broken clouds
82,Berezovyy,RU,51.6667,135.7,74.14,76,100,4.09,2021-07-26 01:25:16,overcast clouds
83,Dunedin,NZ,-45.8742,170.5036,51.8,72,100,20.0,2021-07-26 01:21:39,light rain
84,Atuona,PF,-9.8,-139.0333,78.3,72,4,23.26,2021-07-26 01:22:39,clear sky
85,Acarau,BR,-2.8856,-40.12,77.7,80,4,15.46,2021-07-26 01:22:21,clear sky
86,Sarangani,PH,5.4033,125.4636,84.33,72,95,11.79,2021-07-26 01:25:16,overcast clouds
87,Caravelas,BR,-17.7125,-39.2481,69.24,82,3,6.46,2021-07-26 01:20:53,clear sky
88,Dikson,RU,73.5069,80.5464,43.25,74,9,9.06,2021-07-26 01:25:16,clear sky
89,Bonnyville,CA,54.2668,-110.735,75.0,25,100,11.61,2021-07-26 01:25:17,overcast clouds
90,Marsa Matruh,EG,31.3525,27.2453,77.2,69,0,11.5,2021-07-26 01:25:17,clear sky
91,Avarua,CK,-21.2078,-159.775,78.85,73,40,10.36,2021-07-26 01:25:17,scattered clouds
92,Nowogard,PL,53.6744,15.1163,70.43,82,0,3.44,2021-07-26 01:25:17,clear sky
93,Muros,ES,42.7762,-9.0603,64.83,89,13,5.75,2021-07-26 01:21:18,few clouds
94,Henties Bay,NA,-22.116,14.2845,71.24,36,53,14.03,2021-07-26 01:21:11,broken clouds
95,Jamestown,US,42.097,-79.2353,73.04,73,1,6.91,2021-07-26 01:25:18,clear sky
96,Westport,US,41.1415,-73.3579,78.35,91,1,4.0,2021-07-26 01:22:28,clear sky
97,Half Moon Bay,US,37.4636,-122.4286,89.42,66,20,1.01,2021-07-26 01:25:18,few clouds
98,Palenque,MX,17.5167,-91.9667,79.41,80,88,1.01,2021-07-26 01:25:18,overcast clouds
99,Barmer,IN,25.75,71.3833,82.35,77,100,12.53,2021-07-26 01:25:19,overcast clouds
100,Monrovia,LR,6.3005,-10.7969,75.78,79,30,6.53,2021-07-26 01:25:19,scattered clouds
101,Naze,JP,28.3667,129.4833,81.52,91,100,17.27,2021-07-26 01:25:19,overcast clouds
102,Guerrero Negro,MX,27.9769,-114.0611,72.1,71,2,16.51,2021-07-26 01:24:07,clear sky
103,Komsomolskiy,UZ,40.4272,71.7189,79.52,36,0,9.22,2021-07-26 01:25:19,clear sky
104,Okato,NZ,-39.2,173.8833,55.42,90,100,13.8,2021-07-26 01:25:20,overcast clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,52.0,58,40,5.99,2021-07-26 01:21:31,scattered clouds
106,Sobolevo,RU,54.4299,31.8996,61.5,75,58,4.65,2021-07-26 01:25:20,broken clouds
107,Carutapera,BR,-1.195,-46.02,75.96,88,15,5.26,2021-07-26 01:25:20,few clouds
108,Mount Isa,AU,-20.7333,139.5,69.57,23,41,11.5,2021-07-26 01:22:38,scattered clouds
109,Necochea,AR,-38.5473,-58.7368,46.54,89,11,11.77,2021-07-26 01:25:20,few clouds
110,Butaritari,KI,3.0707,172.7902,79.97,84,98,13.91,2021-07-26 01:25:21,moderate rain
111,Sao Sebastiao,BR,-23.76,-45.4097,65.89,54,0,4.81,2021-07-26 01:25:21,clear sky
112,Knysna,ZA,-34.0363,23.0471,62.98,45,99,7.63,2021-07-26 01:21:11,overcast clouds
113,Shenjiamen,CN,29.9576,122.298,79.21,88,100,28.7,2021-07-26 01:25:21,moderate rain
114,East London,ZA,-33.0153,27.9116,58.05,28,18,6.87,2021-07-26 01:25:21,few clouds
115,Yerbogachen,RU,61.2767,108.0108,76.06,46,82,2.19,2021-07-26 01:25:22,broken clouds
116,Egvekinot,RU,66.3167,-179.1667,47.89,82,100,2.75,2021-07-26 01:25:22,overcast clouds
117,Kavaratti,IN,10.5669,72.642,81.61,80,100,20.56,2021-07-26 01:25:22,overcast clouds
118,Nikolskoye,RU,59.7035,30.7861,63.81,62,98,4.45,2021-07-26 01:25:22,overcast clouds
119,Berlevag,NO,70.8578,29.0864,45.1,84,100,16.58,2021-07-26 01:21:01,overcast clouds
120,Port Augusta,AU,-32.5,137.7667,59.7,46,9,15.3,2021-07-26 01:25:23,clear sky
121,Castro,BR,-24.7911,-50.0119,55.35,62,5,3.44,2021-07-26 01:21:35,clear sky
122,Baiyin,CN,36.5583,104.2081,63.48,60,100,15.79,2021-07-26 01:25:23,overcast clouds
123,Yumen,CN,40.2833,97.2,79.38,30,0,13.78,2021-07-26 01:25:23,clear sky
