City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
396,Kismayo,SO,75.0,light rain,-0.3582,42.5454,Agan-Hotel
399,Tabou,CI,76.05,scattered clouds,4.423,-7.3528,hotêl doufoulougou
400,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
402,Lucea,JM,80.46,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
404,Muisne,EC,75.67,overcast clouds,0.6,-80.0333,Quinta Samay
405,Sampit,ID,79.36,clear sky,-2.5333,112.95,Aquarius Boutique Hotel Sampit
411,Baracoa,CU,80.44,clear sky,20.3467,-74.4958,Hostal Rio Miel
414,Umm Lajj,SA,84.81,clear sky,25.0213,37.2685,Moon light Furnished Units
417,Marawi,PH,81.64,overcast clouds,7.9986,124.2928,Derogongan Residence
418,Mahendragarh,IN,87.22,overcast clouds,28.2833,76.15,Yadav Dharamshala
419,Cravo Norte,CO,75.45,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
421,Bosaso,SO,87.04,overcast clouds,11.2842,49.1816,Red Sea Hotel
424,Acajutla,SV,81.3,overcast clouds,13.5928,-89.8275,asi es
425,Balkanabat,TM,81.41,clear sky,39.5108,54.3671,Nebitchi Hotel
426,Biak,ID,79.65,broken clouds,-0.9131,122.8766,Penginapan Kim
427,Vavuniya,LK,79.16,overcast clouds,8.7514,80.4971,Thampa Hotel
432,Kurchum,KZ,75.31,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
435,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,Sulthan Hotel International
437,Vieux-Habitants,GP,80.17,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
439,Kalutara,LK,82.49,overcast clouds,6.5831,79.9593,Tangerine Beach Hotel
442,Greenwood,US,83.64,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
444,Mount Pleasant,US,82.0,few clouds,32.7941,-79.8626,Best Western Patriots Point
447,Awbari,LY,79.72,clear sky,26.5921,12.7805,فندق أوباري
450,Bemidji,US,80.69,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
453,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
456,Hurricane,US,85.41,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
462,Gorontalo,ID,84.47,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
463,Nishihara,JP,83.86,overcast clouds,26.1842,127.7558,Minshuku Agaihama
467,Male,MV,80.55,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
470,Mlonggo,ID,80.49,clear sky,-6.5333,110.7,Asia Metal Art
475,Galesong,ID,78.82,clear sky,-5.3166,119.3661,Sapriadi Appy
484,Rapar,IN,80.83,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
486,Bama,NG,76.98,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
488,Coahuayana,MX,81.88,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
490,Korla,CN,88.7,clear sky,41.7597,86.1469,Gulisitan Hotel
491,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
494,Tazmalt,DZ,82.62,overcast clouds,36.3868,4.3989,Hôtel Numédia
497,Izumo,JP,87.75,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
501,Puerto Cabezas,NI,78.28,overcast clouds,14.0351,-83.3888,Cabaña Caribe
505,Da Nang,VN,89.65,scattered clouds,16.0678,108.2208,Sun River Hotel
506,Tugdan,PH,83.73,overcast clouds,12.3134,122.0853,Monte Carlo Restaurant & Airport Pension House
509,Buala,SB,85.12,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
512,Manokwari,ID,83.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
514,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Globe Hotel
515,Towada,JP,83.88,clear sky,40.6127,141.2067,Hotel Route-Inn Towada
519,Rio Bravo,MX,89.08,clear sky,25.9833,-98.1,Villa Santa Cecilia
522,Berbera,SO,88.05,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
524,Darnah,LY,77.85,clear sky,32.767,22.6367,فندق الفردوس
526,Gaeta,IT,79.86,overcast clouds,41.2183,13.5628,Hotel Serapo
534,Namatanai,PG,84.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
535,Santo Tomas,PH,87.55,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
536,Nhulunbuy,AU,83.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
540,Clinton,US,84.22,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
548,Shingu,JP,86.99,clear sky,33.7333,135.9833,Shingu UI Hotel
549,Sinjar,IQ,89.24,clear sky,36.3209,41.8754,زوماني فون 1
553,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
556,Shaunavon,CA,83.98,scattered clouds,49.6501,-108.4181,Bear's Den Lodge
558,Russell,US,83.91,clear sky,32.3502,-85.1999,Macs
559,Mardin,TR,76.26,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
563,Humaita,BR,78.26,few clouds,-7.5061,-63.0208,Corrêa Hotel
564,Saint Anthony,US,87.42,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
566,Nardaran,AZ,80.24,few clouds,40.5561,50.0056,Afiq's garden
567,Nichinan,JP,85.68,overcast clouds,31.6,131.3667,Guest House Aki
568,Shache,CN,85.59,clear sky,38.4167,77.2406,Delong Hotel
569,Tongliao,CN,84.45,overcast clouds,43.6125,122.2653,Meirujia Hotel
577,Pontecagnano,IT,82.2,scattered clouds,40.6425,14.8735,Hotel Carosello
583,Rio Rancho,US,80.98,broken clouds,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
584,Sangod,IN,80.1,overcast clouds,24.9167,76.2833,krishan sharema
589,Bambanglipuro,ID,75.16,clear sky,-7.95,110.2833,Puri Brata
593,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
594,Oskaloosa,US,82.98,clear sky,41.2964,-92.6444,EverSpring Inn & Suites
595,Jiexiu,CN,80.44,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
599,Nakamura,JP,81.66,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
604,Along,IN,77.79,light rain,28.1667,94.7667,Hotel West
605,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
608,Kamloops,CA,86.76,smoke,50.6665,-120.3192,Ramada by Wyndham Kamloops
609,Angadanan,PH,84.24,overcast clouds,16.7553,121.7483,DABBAK
611,Bhind,IN,84.49,overcast clouds,26.5642,78.7883,Hotel Kanha Palace and Family Restaurant
614,Pathein,MM,79.66,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
615,Kyaikkami,MM,79.16,heavy intensity rain,16.08,97.5675,Happy Family Kyaikkami
619,Iralaya,HN,79.07,overcast clouds,15.0,-83.2333,Iglesia morava renovada
625,Bontang,ID,80.65,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
626,Sabang,ID,82.54,overcast clouds,5.8933,95.3214,Hotel Citra
628,Ucluelet,CA,83.05,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
629,Malpe,IN,76.3,moderate rain,13.35,74.7167,Hotel Sri Krishna Residency
630,Kamaishi,JP,83.35,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
636,Beyneu,KZ,81.03,clear sky,45.3167,55.2,NUR
642,Olbia,IT,80.65,broken clouds,40.9214,9.4856,Hotel Centrale Olbia
647,Matiari,PK,86.0,overcast clouds,25.5961,68.4467,Zawar Khadim Hussain HOUES
649,Country Club Hills,US,84.9,clear sky,41.5681,-87.7203,Best Western Chicago Southland
653,Morris,US,79.21,clear sky,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
654,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
658,Nago,JP,84.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
